ymin,ymax,xmin,xmax,group
0,344.53128,1,2,reduced
344.53128,689.06256,1,2,reduced
689.06256,1033.59384,1,2,reduced
1033.59384,1378.12512,1,2,reduced
1378.12512,1722.6564,1,2,reduced
1722.6564,2067.18768,1,2,reduced
2067.18768,2497.85178,1,2,reduced
2497.85178,3014.6487,1,2,reduced
3014.6487,3617.57844,1,2,reduced
3617.57844,4306.641,1,2,reduced
4306.641,5081.83638,1,2,reduced
5081.83638,5986.23099,1,2,reduced
5986.23099,7019.82483,1,2,reduced
7019.82483,8182.6179,1,2,reduced
8182.6179,9517.67661,1,2,reduced
9517.67661,11025.00096,1,2,reduced
0,43.06641,0,1,original
43.06641,86.13282,0,1,original
86.13282,129.19923,0,1,original
129.19923,172.26564,0,1,original
172.26564,215.33205,0,1,original
215.33205,258.39846,0,1,original
258.39846,301.46487,0,1,original
301.46487,344.53128,0,1,original
344.53128,387.59769,0,1,original
387.59769,430.6641,0,1,original
430.6641,473.73051,0,1,original
473.73051,516.79692,0,1,original
516.79692,559.86333,0,1,original
559.86333,602.92974,0,1,original
602.92974,645.99615,0,1,original
645.99615,689.06256,0,1,original
689.06256,732.12897,0,1,original
732.12897,775.19538,0,1,original
775.19538,818.26179,0,1,original
818.26179,861.3282,0,1,original
861.3282,904.39461,0,1,original
904.39461,947.46102,0,1,original
947.46102,990.52743,0,1,original
990.52743,1033.59384,0,1,original
1033.59384,1076.66025,0,1,original
1076.66025,1119.72666,0,1,original
1119.72666,1162.79307,0,1,original
1162.79307,1205.85948,0,1,original
1205.85948,1248.92589,0,1,original
1248.92589,1291.9923,0,1,original
1291.9923,1335.05871,0,1,original
1335.05871,1378.12512,0,1,original
1378.12512,1421.19153,0,1,original
1421.19153,1464.25794,0,1,original
1464.25794,1507.32435,0,1,original
1507.32435,1550.39076,0,1,original
1550.39076,1593.45717,0,1,original
1593.45717,1636.52358,0,1,original
1636.52358,1679.58999,0,1,original
1679.58999,1722.6564,0,1,original
1722.6564,1765.72281,0,1,original
1765.72281,1808.78922,0,1,original
1808.78922,1851.85563,0,1,original
1851.85563,1894.92204,0,1,original
1894.92204,1937.98845,0,1,original
1937.98845,1981.05486,0,1,original
1981.05486,2024.12127,0,1,original
2024.12127,2067.18768,0,1,original
2067.18768,2110.25409,0,1,original
2110.25409,2153.3205,0,1,original
2153.3205,2196.38691,0,1,original
2196.38691,2239.45332,0,1,original
2239.45332,2282.51973,0,1,original
2282.51973,2325.58614,0,1,original
2325.58614,2368.65255,0,1,original
2368.65255,2411.71896,0,1,original
2411.71896,2454.78537,0,1,original
