Site,lat,lon,Date
BC1,-30.4818,151.4259,2020-09-24
BC1,-30.1938,151.0786,2021-02-15
BC1,-30.4808,151.426,2021-02-15
BC2,-30.4815,151.4264,2020-02-28
BC2,-30.4769,151.4242,2020-09-24
BC2,-30.4806,151.4246,2020-09-25
BC2,-30.4805,151.4299,2020-11-12
BC2,-30.4803,151.4282,2020-11-29
BN1,-30.1503,151.0793,2020-02-05
BN1,-30.1491,151.0729,2020-07-02
BN1,-30.1502,151.0725,2020-09-24
BN1,-30.1501,151.0734,2020-09-26
BN1,-30.1499,151.0762,2020-11-17
BN1,-30.1511,151.0749,2021-02-12
BN1,-30.1499,151.0687,2021-04-21
BN2,-30.1514,151.0835,2020-02-05
BN2,-30.1521,151.0879,2020-07-02
BN2,-30.1509,151.082,2020-09-24
BN2,-30.15,151.0816,2020-11-17
BN2,-30.1505,151.0807,2020-12-04
BN2,-30.1505,151.0813,2021-02-12
BN2,-30.1515,151.0809,2021-04-21
BN2,-30.1518,151.0768,2020-03-06
BN3,-30.1453,151.0826,2020-02-05
BN3,-30.1407,151.0796,2020-07-02
BN3,-30.1448,151.0819,2020-09-24
BN3,-30.1419,151.0815,2020-11-17
BN3,-30.145,151.082,2021-02-12
BN3,-30.1397,151.0819,2021-04-21
BN3,-30.145,151.0817,2021-04-28
BN3,-30.1447,151.082,2021-05-08
BN4,-30.144,151.0775,2020-02-05
BN4,-30.144,151.0774,2020-07-02
BN4,-30.1438,151.0736,2020-09-24
BN4,-30.1422,151.0719,2020-11-17
BN4,-30.1439,151.0775,2021-02-12
BN4,-30.1431,151.0713,2021-04-21
BN4,-30.144,151.0773,2021-04-28
BN5,-30.1415,151.0796,2020-03-06
BN5,-30.1413,151.0812,2020-07-02
BN5,-30.1403,151.0753,2020-09-24
BN5,-30.1323,151.0833,2021-02-12
BN6,-30.1411,151.075,2020-02-05
BN6,-30.1644,151.0799,2020-03-06
BN6,-30.1389,151.0736,2020-07-02
BN6,-30.141,151.0767,2020-09-24
BN6,-30.141,151.0768,2020-11-17
BN6,-30.1418,151.0736,2020-11-18
BN6,-30.1411,151.0767,2020-11-18
BN6,-30.1426,151.0747,2021-02-12
BN6,-30.141,151.0767,2021-02-23
BN6,-30.1419,151.0739,2021-04-21
BN6,-30.1411,151.0827,2021-04-21
BS1,-30.183,151.0526,2020-10-15
BS1,-30.1787,151.0591,2020-12-02
BS1,-30.1799,151.0609,2020-01-31
BS1,-30.187,151.0436,2020-07-16
BS10,-30.2225,151.0817,2020-01-31
BS10,-30.2198,151.072,2020-07-17
BS10,-30.2219,151.0796,2021-02-06
BS2,-30.1847,151.0595,2020-01-31
BS2,-30.1862,151.0606,2020-07-16
BS3,-30.1865,151.071,2020-12-02
BS3,-30.1867,151.0712,2020-10-15
BS3,-30.1866,151.0707,2020-01-31
BS3,-30.1939,151.0617,2020-07-16
BS3,-30.1832,151.0744,2021-02-06
BS4,-30.1892,151.0736,2020-12-02
BS4,-30.1892,151.0732,2020-10-15
