SurveyIDR12,SiteID,Total20,Total40,Detected20,Detected40,NMPresent,TotalMiner20,TotalMiner40,DetectedMiner20,DetectedMiner40,Threshold20m,Threshold40m
BC1_Autumn_2021,BC1,84,100,16,18,1,5,5,1,1,1,1
BC1_SpringE_2020,BC1,41,50,10,13,0,0,0,0,0,0,0
BC1_SpringL_2019,BC1,69,99,23,26,0,0,0,0,0,0,0
BC1_SpringL_2020,BC1,73,80,27,31,1,6,6,1,1,1,1
BC1_SpringL_2021,BC1,38,74,19,28,0,0,0,0,0,0,0
BC1_Summer_2019,BC1,65,118,18,30,1,2,2,1,1,1,0
BC1_Summer_2020,BC1,98,175,24,31,1,8,8,1,1,1,1
BC1_Summer_2021,BC1,47,63,18,23,0,0,0,0,0,0,0
BC1_Winter_2019,BC1,40,137,18,23,1,4,16,1,1,1,1
BC1_Winter_2020,BC1,51,89,17,25,0,0,0,0,0,0,0
BC1_Winter_2021,BC1,79,91,18,19,0,0,0,0,0,0,0
BC2_Autumn_2021,BC2,52,64,13,14,0,0,0,0,0,0,0
BC2_SpringE_2020,BC2,37,58,11,17,0,0,0,0,0,0,0
BC2_SpringL_2019,BC2,43,76,19,26,1,0,2,0,1,0,0
BC2_SpringL_2020,BC2,43,48,15,18,0,0,0,0,0,0,0
BC2_SpringL_2021,BC2,41,101,20,34,1,0,14,0,1,0,1
BC2_Summer_2019,BC2,64,106,21,26,1,1,1,1,1,0,0
BC2_Summer_2020,BC2,70,77,19,21,0,0,0,0,0,0,0
BC2_Summer_2021,BC2,28,32,14,15,0,0,0,0,0,0,0
BC2_Winter_2019,BC2,19,58,11,18,1,2,3,1,1,1,0
BC2_Winter_2020,BC2,77,102,16,19,0,0,0,0,0,0,0
BC2_Winter_2021,BC2,90,94,14,16,1,7,7,1,1,1,1
BN1_Autumn_2021,BN1,104,132,19,20,1,6,8,1,1,1,1
BN1_SpringE_2020,BN1,47,53,16,16,0,0,0,0,0,0,0
BN1_SpringL_2019,BN1,24,39,13,17,1,1,1,1,1,0,0
BN1_SpringL_2020,BN1,53,63,16,18,0,0,0,0,0,0,0
BN1_SpringL_2021,BN1,62,113,22,26,1,2,6,1,1,1,1
BN1_Summer_2019,BN1,29,39,8,10,1,0,2,0,1,0,0
BN1_Summer_2020,BN1,27,50,12,15,0,0,0,0,0,0,0
BN1_Summer_2021,BN1,17,28,10,17,0,0,0,0,0,0,0
BN1_Winter_2019,BN1,42,101,10,13,1,2,5,1,1,1,1
BN1_Winter_2020,BN1,61,89,12,16,0,0,0,0,0,0,0
BN2_Autumn_2021,BN2,60,65,20,20,1,6,6,1,1,1,1
BN2_SpringE_2020,BN2,62,65,20,20,0,0,0,0,0,0,0
BN2_SpringL_2019,BN2,12,20,9,11,1,2,2,1,1,1,0
BN2_SpringL_2020,BN2,33,35,18,18,0,0,0,0,0,0,0
BN2_SpringL_2021,BN2,38,55,14,16,0,0,0,0,0,0,0
BN2_Summer_2019,BN2,10,30,5,13,1,0,1,0,1,0,0
BN2_Summer_2020,BN2,29,31,12,14,1,5,5,1,1,1,1
BN2_Summer_2021,BN2,16,19,8,11,0,0,0,0,0,0,0
BN2_Winter_2019,BN2,29,85,8,13,0,0,0,0,0,0,0
BN2_Winter_2020,BN2,18,26,9,12,1,1,2,1,1,0,0
BN3_Autumn_2021,BN3,42,58,13,14,1,3,3,1,1,1,0
BN3_SpringE_2020,BN3,41,54,19,20,0,0,0,0,0,0,0
