SurveyIDR12,SiteID,Mean20m,Mean40m,Detected20,Detected40,NMPresent,TotalMiner20,TotalMiner40,MeanMiner20m,MeanMiner40m,Threshold20m,Threshold40m,NumberOFRepeats
BC1_Autumn_2021,BC1,60,81,18,21,1,5,20,2.5,10,1,1,2
BC1_SpringE_2020,BC1,64.5,77.5,31,34,1,4,4,2,2,0,0,2
BC1_SpringL_2019,BC1,55.5,84.5,24,28,0,0,0,0,0,0,0,2
BC1_SpringL_2020,BC1,72.5,80.5,31,35,1,10,10,5,5,1,0,2
BC1_SpringL_2021,BC1,48,109.5,34,46,0,0,0,0,0,0,0,2
BC1_Summer_2019,BC1,47,86.5,22,34,1,2,2,1,1,0,0,2
BC1_Summer_2020,BC1,118.5,181,35,42,1,12,12,6,6,1,0,2
BC1_Summer_2021,BC1,46,56,24,26,0,0,0,0,0,0,0,2
BC1_Winter_2019,BC1,37,115,23,31,1,7,28,3.5,14,1,1,2
BC1_Winter_2020,BC1,56,99,22,29,0,0,0,0,0,0,0,2
BC1_Winter_2021,BC1,71,85.5,20,26,1,0,1,0,0.5,0,0,2
BC2_Autumn_2021,BC2,45,55,18,20,1,2,2,1,1,0,0,2
BC2_SpringE_2020,BC2,46.5,64.5,20,26,0,0,0,0,0,0,0,2
BC2_SpringL_2019,BC2,27.5,54.5,21,29,1,0,2,0,1,0,0,2
BC2_SpringL_2020,BC2,49,57,27,30,0,0,0,0,0,0,0,2
BC2_SpringL_2021,BC2,43,100,33,47,1,0,14,0,7,0,1,2
BC2_Summer_2019,BC2,58,110,27,37,1,1,2,0.5,1,0,0,2
BC2_Summer_2020,BC2,68,76.5,28,31,1,5,5,2.5,2.5,1,0,2
BC2_Summer_2021,BC2,29,35.5,22,27,0,0,0,0,0,0,0,2
BC2_Winter_2019,BC2,32,83,23,28,1,4,9,2,4.5,0,0,2
BC2_Winter_2020,BC2,58,80,22,27,0,0,0,0,0,0,0,2
BC2_Winter_2021,BC2,66.5,74,19,22,1,10,10,5,5,1,0,2
BN1_Autumn_2021,BN1,88,110,25,28,1,11,13,5.5,6.5,1,0,2
BN1_SpringE_2020,BN1,47.5,55.5,22,23,1,4,4,2,2,0,0,2
BN1_SpringL_2019,BN1,20.5,32,17,22,1,1,1,0.5,0.5,0,0,2
BN1_SpringL_2020,BN1,46.5,60.5,25,29,1,2,3,1,1.5,0,0,2
BN1_SpringL_2021,BN1,55,94.5,27,30,1,2,6,1,3,0,0,2
BN1_Summer_2019,BN1,31,45,17,23,1,0,2,0,1,0,0,2
BN1_Summer_2020,BN1,31.5,45.5,15,18,0,0,0,0,0,0,0,2
BN1_Summer_2021,BN1,24,38,18,26,0,0,0,0,0,0,0,2
BN1_Winter_2019,BN1,35,87,12,20,1,4,7,2,3.5,0,0,2
BN1_Winter_2020,BN1,61,91,17,26,1,7,7,3.5,3.5,1,0,2
BN2_Autumn_2021,BN2,72,79,23,24,1,6,6,3,3,1,0,2
BN2_SpringE_2020,BN2,41,43.5,24,25,1,2,2,1,1,0,0,2
BN2_SpringL_2019,BN2,14,21.5,16,18,1,2,2,1,1,0,0,2
BN2_SpringL_2020,BN2,35.5,37.5,27,28,0,0,0,0,0,0,0,2
BN2_SpringL_2021,BN2,44,70,20,25,0,0,0,0,0,0,0,2
BN2_Summer_2019,BN2,19,36,13,22,1,5,6,2.5,3,1,0,2
BN2_Summer_2020,BN2,27.5,32,15,19,1,5,5,2.5,2.5,1,0,2
BN2_Summer_2021,BN2,17.5,22.5,10,13,0,0,0,0,0,0,0,2
BN2_Winter_2019,BN2,24.5,64,15,20,0,0,0,0,0,0,0,2
BN2_Winter_2020,BN2,23,31,17,20,1,2,3,1,1.5,0,0,2
BN3_Autumn_2021,BN3,36,47,20,20,1,3,3,1.5,1.5,0,0,2
BN3_SpringE_2020,BN3,32.5,45,22,24,0,0,0,0,0,0,0,2
BN3_SpringL_2019,BN3,28,41,21,24,0,0,0,0,0,0,0,2
BN3_SpringL_2020,BN3,29.5,36,21,22,0,0,0,0,0,0,0,2
BN3_SpringL_2021,BN3,42.5,74,23,30,0,0,0,0,0,0,0,2
BN3_Summer_2019,BN3,23,58.5,17,25,1,1,3,0.5,1.5,0,0,2
BN3_Summer_2020,BN3,39.5,43.5,21,22,0,0,0,0,0,0,0,2
BN3_Summer_2021,BN3,41.5,66.5,23,27,1,2,2,1,1,0,0,2
BN3_Winter_2019,BN3,36.5,81,21,24,1,4,8,2,4,0,0,2
BN3_Winter_2020,BN3,50,63,21,23,1,2,2,1,1,0,0,2
BN4_Autumn_2021,BN4,43.5,50.5,24,27,1,3,3,1.5,1.5,0,0,2
BN4_SpringE_2020,BN4,51,64,29,34,1,1,1,0.5,0.5,0,0,2
BN4_SpringL_2019,BN4,31,60,23,33,1,1,2,0.5,1,0,0,2
BN4_SpringL_2020,BN4,54.5,75,28,28,0,0,0,0,0,0,0,2
BN4_SpringL_2021,BN4,36.5,73,19,24,1,5,8,2.5,4,1,0,2
BN4_Summer_2019,BN4,29.5,49.5,15,21,0,0,0,0,0,0,0,2
BN4_Summer_2020,BN4,76,101.5,25,28,0,0,0,0,0,0,0,2
BN4_Summer_2021,BN4,44,80,20,24,1,0,6,0,3,0,0,2
BN4_Winter_2019,BN4,39,90,20,26,0,0,0,0,0,0,0,2
BN4_Winter_2020,BN4,86.5,114,20,25,1,0,2,0,1,0,0,2
BN5_Autumn_2021,BN5,55.5,68,24,27,1,5,6,2.5,3,1,0,2
BN5_SpringE_2020,BN5,60,79,20,21,1,11,14,5.5,7,1,1,2
BN5_SpringL_2019,BN5,56.5,87.5,27,35,1,4,5,2,2.5,0,0,2
BN5_SpringL_2020,BN5,87.5,111,37,37,1,18,18,9,9,1,1,2
BN5_SpringL_2021,BN5,60.5,107,31,35,1,3,10,1.5,5,0,0,2
BN5_Summer_2019,BN5,37,69,18,28,1,8,10,4,5,1,0,2
BN5_Summer_2020,BN5,59.5,67.5,26,27,1,12,12,6,6,1,0,2
BN5_Summer_2021,BN5,47,75.5,21,27,1,0,1,0,0.5,0,0,2
BN5_Winter_2019,BN5,44.5,98,17,22,1,3,10,1.5,5,0,0,2
BN5_Winter_2020,BN5,114.5,155,26,29,1,11,11,5.5,5.5,1,0,2
BN6_Autumn_2021,BN6,74,94.5,29,34,1,2,2,1,1,0,0,2
BN6_SpringE_2020,BN6,55,81.5,23,29,0,0,0,0,0,0,0,2
BN6_SpringL_2019,BN6,31,62.5,21,27,0,0,0,0,0,0,0,2
BN6_SpringL_2020,BN6,68.5,114,35,48,1,5,5,2.5,2.5,1,0,2
BN6_SpringL_2021,BN6,41.5,86,31,36,1,0,16,0,8,0,1,2
BN6_Summer_2019,BN6,43,88.5,18,33,1,3,6,1.5,3,0,0,2
BN6_Summer_2020,BN6,78.5,119,29,33,1,2,2,1,1,0,0,2
BN6_Summer_2021,BN6,27,46,21,33,0,0,0,0,0,0,0,2
BN6_Winter_2019,BN6,49.5,104.5,28,32,1,4,7,2,3.5,0,0,2
BN6_Winter_2020,BN6,89.5,154,16,26,1,5,6,2.5,3,1,0,2
BS1_Autumn_2021,BS1,44.5,48,18,18,1,9,9,4.5,4.5,1,0,2
BS1_SpringE_2020,BS1,30.5,40.5,13,16,1,9,11,4.5,5.5,1,0,2
BS1_SpringL_2019,BS1,50,91,20,28,1,5,7,2.5,3.5,1,0,2
BS1_SpringL_2020,BS1,32,44.5,12,15,1,11,20,5.5,10,1,1,2
BS1_SpringL_2021,BS1,58.5,81.5,29,34,1,4,4,2,2,0,0,2
BS1_Summer_2019,BS1,39,78,23,25,1,5,6,2.5,3,1,0,2
BS1_Summer_2020,BS1,38.5,49,21,24,1,4,5,2,2.5,0,0,2
BS1_Summer_2021,BS1,45.5,57,30,32,0,0,0,0,0,0,0,2
BS1_Winter_2019,BS1,39,89.5,13,16,1,14,30,7,15,1,1,2
BS1_Winter_2020,BS1,32,40.5,12,15,1,9,11,4.5,5.5,1,0,2
BS10_Autumn_2021,BS10,61.5,67.5,22,25,1,3,3,1.5,1.5,0,0,2
BS10_SpringE_2020,BS10,52,66.5,25,28,1,0,2,0,1,0,0,2
BS10_SpringL_2019,BS10,41.5,77.5,29,32,1,3,3,1.5,1.5,0,0,2
BS10_SpringL_2020,BS10,44.5,64,25,26,1,6,14,3,7,1,1,2
BS10_SpringL_2021,BS10,44.5,68,27,33,1,6,6,3,3,1,0,2
BS10_Summer_2019,BS10,55,99.5,25,32,1,13,17,6.5,8.5,1,1,2
BS10_Summer_2020,BS10,51.5,65.5,26,30,1,2,2,1,1,0,0,2
BS10_Summer_2021,BS10,25,34,15,19,0,0,0,0,0,0,0,2
BS10_Winter_2019,BS10,55.5,160.5,25,32,1,6,30,3,15,1,1,2
BS10_Winter_2020,BS10,54,69.5,27,31,1,0,2,0,1,0,0,2
BS2_Autumn_2021,BS2,44,63,10,14,1,11,11,5.5,5.5,1,0,2
BS2_SpringE_2020,BS2,35.5,59,15,17,1,14,25,7,12.5,1,1,2
BS2_SpringL_2019,BS2,26,47.5,13,16,1,0,4,0,2,0,0,2
BS2_SpringL_2020,BS2,34,57,14,18,1,10,20,5,10,1,1,2
BS2_SpringL_2021,BS2,32.5,40,15,15,1,18,22,9,11,1,1,2
BS2_Summer_2019,BS2,39,54,15,22,1,14,20,7,10,1,1,2
BS2_Summer_2020,BS2,15.5,21,8,11,1,11,11,5.5,5.5,1,0,2
BS2_Summer_2021,BS2,21.5,31,8,10,1,4,4,2,2,0,0,2
BS2_Winter_2019,BS2,38.5,81.5,12,12,1,22,51,11,25.5,1,1,2
BS2_Winter_2020,BS2,32.5,57.5,11,16,1,14,25,7,12.5,1,1,2
BS3_Autumn_2021,BS3,62.5,75.5,23,24,1,3,3,1.5,1.5,0,0,2
